u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,tunnel,width,access
619215529,2053131190,0,651908021,True,1,4,,trunk,,False,167.587,"LINESTRING (139.9308613 36.5364704, 139.9310523 36.5367252, 139.9315064 36.5373073, 139.9318519 36.5377502)",,,,
619215557,619215522,0,48802877,True,1,4,,trunk,,False,360.13999999999993,"LINESTRING (139.9333835 36.5390729, 139.9328668 36.5383948, 139.9323587 36.5377513, 139.9314021 36.5365744, 139.9312252 36.5363378)",,,,
619215559,2053131281,0,48802862,True,3,4,石橋宇都宮バイパス,trunk,,False,53.424,"LINESTRING (139.9331942 36.5391896, 139.9335521 36.5395745)",,,,
619215564,2053131275,0,48802863,True,3,4,石橋宇都宮バイパス,trunk,,False,147.341,"LINESTRING (139.9347035 36.5406105, 139.9340489 36.5398245, 139.9337752 36.5395154)",,,,
619215567,619215602,0,"[48802894, 48802890, 48802862]",True,"['3', '2']",4,石橋宇都宮バイパス,trunk,,False,1038.038,"LINESTRING (139.9345568 36.5406875, 139.9351521 36.5414624, 139.9363106 36.5431884, 139.9368613 36.5440855, 139.9383419 36.5465271, 139.9387843 36.5472576, 139.9391275 36.5478711, 139.9394293 36.5484652, 139.9396537 36.5490593)",yes,,,
619215567,1881823840,0,48802893,True,1,,,trunk_link,,False,231.564,"LINESTRING (139.9345568 36.5406875, 139.9350804 36.5415023, 139.9357633 36.5425306)",,,,
619215576,3708890727,0,651497416,True,1,,,trunk_link,,False,11.371,"LINESTRING (139.9379114 36.5453906, 139.9378574 36.545298)",,,,
619215576,614978763,0,651497417,True,2,123,水戸街道,trunk,,False,39.259,"LINESTRING (139.9379114 36.5453906, 139.9380027 36.5453575, 139.938046 36.5453449, 139.9383121 36.5452459)",,,,
619215578,619215576,0,374658379,True,2,123,水戸街道,trunk,,False,31.355,"LINESTRING (139.9375901 36.5455041, 139.9379114 36.5453906)",,,,
619215578,619215602,0,48802893,True,1,,,trunk_link,,False,436.339,"LINESTRING (139.9375901 36.5455041, 139.9377261 36.5457357, 139.9386741 36.5472855, 139.9390489 36.5479054, 139.9393466 36.5484725, 139.9396537 36.5490593)",,,,
619215594,1937141359,0,48802891,True,3,4,石橋宇都宮バイパス,trunk,,False,129.175,"LINESTRING (139.9404639 36.5511558, 139.9403171 36.5505146, 139.9401772 36.5500174)",,,,
619215597,2899231556,0,"[48802896, 48802890, 86327996]",True,"['3', '2']",4,石橋宇都宮バイパス,trunk,,False,960.9540000000001,"LINESTRING (139.9404108 36.55163, 139.9405113 36.5522629, 139.9407596 36.5537838, 139.9412157 36.5565173, 139.9413608 36.5574266, 139.9417947 36.5602002)",yes,,,
619215597,619215623,0,"[1040483047, 1040483048, 1040483049, 1040483050, 48802889]",True,1,4,,trunk,,False,587.219,"LINESTRING (139.9404108 36.55163, 139.9404391 36.5522932, 139.9407642 36.5542193, 139.9408023 36.5544566, 139.940824 36.5546034, 139.940845 36.5547282, 139.9409323 36.5553627, 139.940958 36.5556432, 139.9409765 36.5559765, 139.9410128 36.5563807, 139.9410956 36.5568784)",,,,
619215600,619215564,0,"[48802891, 48802863, 48802895]",True,"['3', '2']",4,石橋宇都宮バイパス,trunk,,False,1000.071,"LINESTRING (139.9396647 36.5486665, 139.9395554 36.5484415, 139.939239 36.5478318, 139.9388881 36.5472156, 139.9384435 36.5464751, 139.9369713 36.544048, 139.9364169 36.5431439, 139.9352845 36.5413977, 139.9347035 36.5406105)",yes,,,
619215600,1937141247,0,48802892,True,1,,,trunk_link,,False,253.228,"LINESTRING (139.9396647 36.5486665, 139.9394593 36.5481414, 139.9389784 36.5471737, 139.93861 36.546556)",,,,
619215602,2005924409,0,48802890,True,3,4,石橋宇都宮バイパス,trunk,,False,114.991,"LINESTRING (139.9396537 36.5490593, 139.9399421 36.5497894, 139.940034 36.5500472)",,,,
619215617,1002584647,0,48802889,True,1,4,,trunk,,False,361.596,"LINESTRING (139.9411213 36.5569932, 139.9417204 36.5602093)",,,,
619215617,619215639,0,369223049,True,2,64,鬼怒通り,primary,,False,41.715,"LINESTRING (139.9411213 36.5569932, 139.9415817 36.5570562)",,,,
619215621,619215623,0,377806994,True,2,64,鬼怒通り,primary,,False,43.19,"LINESTRING (139.9415713 36.5569481, 139.9410956 36.5568784)",,,,
619215621,1937141592,0,48802886,True,1,4,,trunk,,False,453.30400000000003,"LINESTRING (139.9415713 36.5569481, 139.9415371 36.5566842, 139.9414888 36.5564354, 139.9413999 36.5560121, 139.9412928 36.5554963, 139.9412413 36.5552982, 139.9411986 36.5551277, 139.9411666 36.5549694, 139.9411442 36.5548317, 139.9410118 36.5540046, 139.9409714 36.5537777, 139.9408273 36.5529168)",,,,
619215623,619215617,0,48802889,True,1,4,,trunk,,False,12.97,"LINESTRING (139.9410956 36.5568784, 139.9411213 36.5569932)",,,,
